ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs
WMT,sp500,0.5503242044345518,0.3679865294714675,0.12158327269205219,0.207214611842772,0.3937138986798625,498
FTNT,sp500,1.0789106418759922,0.3247638911428613,0.19994401190652006,0.4090521756871875,0.3910112729209226,498
CVX,sp500,0.5962519625383672,-0.00330767050777863,0.12839187166575733,0.22887686604805943,0.3861983659248325,498
EL,sp500,1.2080618503713152,-0.4967780968985578,0.2190901409996574,0.46488809636385037,0.38523279559193163,498
EOG,sp500,0.6697782364765503,0.05564329661106005,0.13929183573855816,0.2667168872249271,0.3722742746874651,498
FIS,sp500,0.6465962015310341,0.23309507847876254,0.1358551955485088,0.25756842388877077,0.3721542963275003,498
CMCSA,sp500,0.6344702681070614,-0.019746557537050957,0.1340575763901981,0.25310903947100943,0.3716089183806936,498
APD,sp500,0.697226106449899,0.03411015767589237,0.14336086821579133,0.28024223271914295,0.36882687956379134,498
ZTS,sp500,0.6424557563920218,-0.03739699184163778,0.13524139179043204,0.2582662695522396,0.3687720891913357,498
REGN,sp500,0.5552115975115798,-0.07671347040606191,0.12230780837291708,0.2528628028069739,0.32550382048777576,498
FLCH,fintual,0.6263353637262455,0.12596750816072805,0.13285161067566847,0.2964634536769576,0.3131974937350778,498
LQD,fintual,0.17041384041744942,0.04354641352169814,0.06526314252806968,0.08215809479593982,0.3074942595835142,498
LLY,sp500,0.7022475235344541,0.3903356773378761,0.14410527239792378,0.3395921961241572,0.30655967241326765,498
MDT,sp500,0.4134875091004594,0.02284678610478351,0.10129780216438222,0.20095785217600937,0.3050281514289594,498
CXSE,fintual,0.6557980242957276,0.07242041787988084,0.1372193274726121,0.32021562531916486,0.3036058199087311,498
TGT,sp500,0.7394912449081114,-0.1410111842096727,0.1496264990719638,0.3639555851529222,0.30120845384445005,498
XOM,sp500,0.44353036124612033,0.045973757907505866,0.10575152994756198,0.22343948841374756,0.29426996281789053,498
AMGN,sp500,0.48196510053407005,0.15411613139151026,0.11144932007001995,0.24766745591946293,0.28848893289094063,498
RTX,sp500,0.46096451517878434,0.2111537698116969,0.1083360707018709,0.24280792223609393,0.28144086104169375,498
